distribution,mu,sigma,tau,mean,variance,log_likelihood,aic,bic,n_params,ad,position,mean_input,window_start,window_end,a,d,scale,alpha,loc,beta,actual_mean,actual_variance,c,shift
exgaussian,-0.7991156752856293,0.3330523406219052,4.317524627456958,3.5183914668168392,28.71674893331846,-1669.0208581417044,3344.0417162834087,3357.513886886916,3,30.650080011857085,QB,2.0,0.5,3.5,,,,,,,,,,
generalized_gamma,,,,3.2315270118022283,13.657400071234283,-10784.02044288944,21574.04088577888,21593.60623371013,3,489.0620798039199,RB,2.0,0.5,3.5,0.3473311201530316,6.5292092491801,0.010125994407882088,,,,,,,
lognormal,0.9616743499226749,0.9143092216492745,,3.8887473351892745,13.889294179945958,-13771.359902504315,27546.71980500863,27560.122497814707,2,3890.93073241849,WR,2.0,0.5,3.5,,,,,,,,,,
lognormal,0.8268652941586423,0.8419045759439571,,3.276755476718328,9.744557848054269,-12846.665824873733,25697.331649747466,25710.794645335594,2,2693.1346307424683,TE,2.0,0.5,3.5,,,,,,,,,,
skew_normal,,,,4.946015424164524,26.261867156574432,-1167.0556410317008,2340.1112820634016,2352.0020200942567,3,1.0102677806668794,DST,2.0,0.5,3.5,,,7.9641534410666575,3.453029355858681,-1.1503799784076425,,,,,
exgaussian,-0.7987038915098121,0.325741508670738,4.6128134428176395,3.814097817998596,30.318705257828448,-1695.7425397702496,3397.485079540499,3410.934401594871,3,22.459087408484493,QB,2.5,1.0,4.0,,,,,,,,,,
generalized_gamma,,,,3.49900700824809,15.647081187743415,-12802.445531381347,25610.891062762694,25630.856706230636,3,409.93549191589227,RB,2.5,1.0,4.0,0.39399612986092625,5.188939020851736,0.038565726956637805,,,,,,,
generalized_gamma,,,,4.130068589778209,15.172577659846882,-17177.287606887214,34360.57521377443,34381.259635888535,3,3720.5264838870153,WR,2.5,1.0,4.0,0.32623164160829,11.586740753141548,0.0017513400031891144,,,,,,,
lognormal,0.884169508810776,0.8475615188263536,,3.4752921366161194,10.742085915066694,-15002.492209062433,30008.984418124866,30022.696885237154,2,2570.1644863084784,TE,2.5,1.0,4.0,,,,,,,,,,
skew_normal,,,,4.828571428571428,24.504897959183676,-2070.270608836748,4146.541217673496,4160.194458678627,3,2.159857723034179,DST,2.5,1.0,4.0,,,7.558329716092995,3.253919579092382,-0.883104639908247,,,,,
exgaussian,-0.7373957082086744,0.35735244914065073,4.593269458413799,3.855874398029973,28.468958284038926,-1737.0019763118125,3480.003952623625,3493.5213048040096,3,20.164891092679,QB,3.0,1.5,4.5,,,,,,,,,,
generalized_gamma,,,,3.908832830673114,18.2075948364339,-14319.212206632066,28644.424413264132,28664.572545414616,3,351.3718073911232,RB,3.0,1.5,4.5,0.46682474576277255,3.812121041819225,0.16844098442766123,,,,,,,
generalized_gamma,,,,4.42433071434065,16.541592317442547,-20052.26248237821,40110.52496475642,40131.58323066029,3,3161.3643940094044,WR,3.0,1.5,4.5,0.3408868859973886,10.682693277325189,0.003315566440470928,,,,,,,
lognormal,0.9586140229238191,0.8552875161369318,,3.7436575679409585,11.958103763746767,-16215.015249891032,32434.030499782064,32447.82175903634,2,2299.1774340233096,TE,3.0,1.5,4.5,,,,,,,,,,
gamma,,,,7.651162790697676,20.532870304458502,-241.0104364199437,486.0208728398874,490.9295674323944,2,1.059714526312888,K,3.0,1.5,4.5,,,2.6836274258106854,2.8510525407178564,,0.3726299673278657,7.651162790697675,16.18063818280151,,
skew_normal,,,,5.0640794223826715,27.785605018962844,-3344.3445025181554,6694.689005036311,6709.719940638232,3,2.386349246859936,DST,3.0,1.5,4.5,,,8.240069852790722,3.7669141671088617,-1.269367515833774,,,,,
exgaussian,-0.7760776803953824,0.3821454648419844,5.221126723843117,4.445029712526039,33.017111619282886,-1828.141424823386,3662.282849646772,3675.813624668341,3,16.059237763615783,QB,3.5,2.0,5.0,,,,,,,,,,
generalized_gamma,,,,4.280282977703784,20.199679884298828,-15545.044348980155,31096.08869796031,31116.362992177237,3,252.92742294749132,RB,3.5,2.0,5.0,0.5523388885304789,2.867544987248235,0.5099218033737589,,,,,,,
